 ,WHOIS,DNS,Hosts,Certs,Honeypots,URLs,Samples,Sandbox,Code Sim.,Code,Traffic,Enrich
[Whoxy](https://whoxy.com/),":material-checkbox-multiple-marked:{ title=""Also provides WHOIS history"" }", , , , , , , , , , , 
[DNSChecker](https://dnschecker.org/),:material-checkbox-marked:,:material-checkbox-marked:, , , , , , , , , , 
[MXToolBox](https://mxtoolbox.com/),:material-checkbox-marked:,:material-checkbox-marked:, , , , , , , , , , 
[DNSlytics](https://dnslytics.com/),:material-checkbox-marked:,":material-checkbox-multiple-marked: { title=""Also provides DNS history"" }", , , , , , , , , , 
[SecurityTrails](https://securitytrails.com/),:material-checkbox-marked:,":material-checkbox-multiple-marked: { title=""Also provides DNS history"" }", , , , , , , , , , 
"[DomainTools](https://domaintools.com/) { title=""Premium only"" }",:material-checkbox-marked:,":material-checkbox-multiple-marked:{ title=""Also provides DNS history"" }", , , , , , , , , , 
[RiskIQ](https://community.riskiq.com/),:material-checkbox-marked:,":material-checkbox-multiple-marked:{ title=""Provides DNS history and allows pivoting by co-occurence (domains often queried for in the same timeframe)"" }", , , , , , , , , , 
[Driftnet](https://driftnet.io/),:material-checkbox-marked:,:material-checkbox-marked:,:material-checkbox-marked:,:material-checkbox-marked:, , , , , , , , 
[Silent Push](https://silentpush.com/),":material-checkbox-multiple-marked:{ title=""Also provides WHOIS history"" }",":material-checkbox-multiple-marked: { title=""Also provides DNS history"" }",:material-checkbox-marked:,:material-checkbox-marked:, ,":material-checkbox-marked-outline: { title=""Only contains information about submitted URLs."" }", , , , , , 
[Validin](https://www.validin.com/),:material-checkbox-marked:,":material-checkbox-multiple-marked:{ title=""Also provides DNS history"" }",:material-checkbox-marked:,:material-checkbox-marked:, ,":material-checkbox-marked-outline: { title=""Only scans some URLs."" }", , , , , , 
[IPinfo](https://ipinfo.io/), ,:material-checkbox-marked:, , , , , , , , , , 
"[Spamhaus](https://www.spamhaus.org/) { title=""Premium only"" }", ,":material-checkbox-multiple-marked:{ title=""Also provides DNS history"" }", , , , , , , , , , 
"[ZETAlytics](https://zetalytics.com/) { title=""Premium only"" }", ,":material-checkbox-multiple-marked:{ title=""Also provides DNS history"" }", , , , , , , , , , 
"[Circle.lu](https://www.circl.lu/services/)  { title=""Limited access"" }", ,":material-checkbox-multiple-marked:{ title=""Also provides DNS history"" }", ,:material-checkbox-marked:, , , , , , , , 
[Shodan](https://shodan.io/), , ,:material-checkbox-marked:,:material-checkbox-marked:, , , , , , , , 
[Censys](https://search.censys.io/), , ,:material-checkbox-marked:,:material-checkbox-marked:, , , , , , , , 
[BinaryEdge](https://app.binaryedge.io/), , ,:material-checkbox-marked:,:material-checkbox-marked:, , , , , , , , 
[FOFA](https://en.fofa.info/), , ,:material-checkbox-marked:,:material-checkbox-marked:, , , , , , , , 
[Hunt.io](https://hunt.io/), , ,:material-checkbox-marked:, , , , , , , , , 
[ZoomEye](https://zoomeye.hk/), , ,:material-checkbox-marked:,:material-checkbox-marked:, , , , , , , , 
[crt.sh](https://crt.sh/), , , ,":material-checkbox-marked-outline: { title=""Doesn't correlate certificates to hosts."" }", , , , , , , , 
[GreyNoise](https://www.greynoise.io/), , , , ,":material-checkbox-multiple-marked:{ title=""Also provides analysis and tags"" }", , , , , , , 
[OTX](https://otx.alienvault.com/), , , , ,:material-checkbox-marked:, , , , , , , 
[URLScan](https://urlscan.io/), , , , , ,":material-checkbox-marked-outline: { title=""Only contains information about submitted URLs."" }", , , , , , 
[PublicWWW](https://publicwww.com/), , , , , ,:material-checkbox-marked:, , , , , , 
[Wayback Machine](https://web.archive.org/), , , , , ,":material-checkbox-marked-outline: { title=""Only contains copies of submitted URLs; doesn't lend itself to pivoting"" }", , , , , , 
[VirusTotal](https://www.virustotal.com/), , ,":material-checkbox-marked-outline: { title=""Only contains information about submitted hosts."" }",:material-checkbox-marked:, ,":material-checkbox-marked-outline: { title=""Only contains information about submitted URLs."" }",:material-checkbox-marked:,:material-checkbox-marked:,:material-checkbox-marked:, , , 
[MalShare](https://malshare.com/), , , , , , ,:material-checkbox-marked:, , , , , 
[MalwareBazaar](https://bazaar.abuse.ch/), , , , , , ,:material-checkbox-marked:, , , , , 
[HybridAnalysis](https://www.hybrid-analysis.com/), , , , , , ,:material-checkbox-marked:,:material-checkbox-marked:, , , , 
[any.run](https://any.run/), , , , , , ,:material-checkbox-marked:,:material-checkbox-marked:, , , , 
[Joe's Sandbox](https://www.joesandbox.com/), , , , , , ,:material-checkbox-marked:,:material-checkbox-marked:, , , , 
[filescan.io](https://www.filescan.io/scan), , , , , , ,:material-checkbox-marked:,:material-checkbox-marked:, , , , 
[ThreatFox](https://threatfox.abuse.ch/), , ,":material-checkbox-marked-outline: { title=""Only contains IP addresses and domains tagged as malicious."" }", , , ,":material-checkbox-marked-outline: { title=""Only contains hashes tagged as malicious."" }", , , , , 
[Intezer Analyse](https://analyze.intezer.com/), , , , , , , , ,:material-checkbox-marked:, , , 
[GitHub Search](https://github.com/search), , , , , , , , , ,:material-checkbox-marked:, , 
"[Team Cymru](https://www.team-cymru.com/cyber-threat-hunting-tools) { title=""Premium only"" }", , , , , , , , , , ,:material-checkbox-marked:, 
[Similarweb](https://www.similarweb.com/), , , , , , , , , , ,":material-checkbox-marked-outline: { title=""Only shows traffic between websites."" }", 
[MISP](https://www.misp-project.org/), , , , , , , , , , , ,:material-checkbox-marked:
[Cortex](https://github.com/TheHive-Project/Cortex), , , , , , , , , , , ,:material-checkbox-marked:
[Yeti](https://yeti-platform.io/), , , , , , , , , , , ,:material-checkbox-marked:
[IntelOwl](https://github.com/intelowlproject/IntelOwl/), , , , , , , , , , , ,:material-checkbox-marked:
[Vertex Synapse](https://vertex.link/synapse), , , , , , , , , , , ,:material-checkbox-marked:
[Maltego](https://www.maltego.com/), , , , , , , , , , , ,:material-checkbox-marked:
[Malwoverview](https://github.com/alexandreborges/malwoverview), , , , , , , , , , , ,:material-checkbox-marked:
[Mitaka](https://github.com/ninoseki/mitaka), , , , , , , , , , , ,:material-checkbox-marked:
